FOLIO	SALES	LNSALES	LAND	IMP	TOTVAL	NBHD
594031020	760.0	6.63332	96.10	335.59	431.69	HUNTERSGREEN
594031044	410.0	6.01616	75.79	274.22	350.01	HUNTERSGREEN
594031064	335.0	5.81413	67.22	273.66	340.88	HUNTERSGREEN
594031066	840.0	6.73340	68.22	375.02	443.24	HUNTERSGREEN
594031072	430.0	6.06379	57.77	297.55	355.32	HUNTERSGREEN
594031210	204.0	5.31812	36.44	157.48	193.92	HUNTERSGREEN
594031236	275.0	5.61677	47.61	176.14	223.75	HUNTERSGREEN
594031250	330.0	5.79909	40.56	222.64	263.21	HUNTERSGREEN
594031508	202.0	5.30827	32.53	111.33	143.86	HUNTERSGREEN
594031534	200.0	5.29832	31.68	121.46	153.14	HUNTERSGREEN
594031572	256.0	5.54518	30.60	146.73	177.33	HUNTERSGREEN
594031574	248.0	5.51343	30.30	138.84	169.14	HUNTERSGREEN
594031618	200.0	5.29832	38.81	114.06	152.87	HUNTERSGREEN
594031740	319.0	5.76519	49.36	184.43	233.79	HUNTERSGREEN
594031742	305.0	5.72031	50.22	172.64	222.86	HUNTERSGREEN
594031778	340.0	5.82895	39.84	180.05	219.89	HUNTERSGREEN
594031830	185.0	5.22036	39.08	117.11	156.19	HUNTERSGREEN
594031956	210.0	5.34711	35.51	125.71	161.22	HUNTERSGREEN
594032024	212.0	5.35659	38.09	101.98	140.07	HUNTERSGREEN
594032482	260.0	5.56068	40.30	212.92	253.22	HUNTERSGREEN
594032490	295.0	5.68698	48.58	246.91	295.49	HUNTERSGREEN
594032516	181.0	5.19850	33.75	100.12	133.87	HUNTERSGREEN
594032524	195.0	5.27300	38.77	118.26	157.03	HUNTERSGREEN
594032528	253.0	5.53339	38.77	113.99	152.76	HUNTERSGREEN
594032536	212.0	5.35659	38.77	114.19	152.96	HUNTERSGREEN
594032644	210.0	5.34711	31.20	126.19	157.39	HUNTERSGREEN
594032684	245.0	5.50126	31.20	130.12	161.32	HUNTERSGREEN
594032704	195.0	5.27300	35.39	120.58	155.97	HUNTERSGREEN
594032910	499.9	6.21441	46.69	292.18	338.87	HUNTERSGREEN
594032956	407.0	6.00881	63.03	268.38	331.41	HUNTERSGREEN
594032974	320.0	5.76832	45.45	266.03	311.48	HUNTERSGREEN
594033246	335.0	5.81413	77.00	219.76	296.76	HUNTERSGREEN
594033256	325.0	5.78383	37.50	216.75	254.25	HUNTERSGREEN
594033316	1025.0	6.93245	153.28	533.28	686.55	HUNTERSGREEN
594033348	1550.0	7.34601	94.08	906.47	1000.55	HUNTERSGREEN
594033380	350.0	5.85793	47.22	235.97	283.19	HUNTERSGREEN
594033392	415.0	6.02828	53.04	253.71	306.75	HUNTERSGREEN
594033416	300.0	5.70378	55.45	225.65	281.10	HUNTERSGREEN
594033458	260.0	5.56068	39.60	199.77	239.37	HUNTERSGREEN
594033680	190.0	5.24702	27.60	97.44	125.04	HUNTERSGREEN
594033774	163.0	5.09375	35.23	114.99	150.23	HUNTERSGREEN
594033798	140.0	4.94164	24.25	91.82	116.07	HUNTERSGREEN
594033934	325.0	5.78383	47.02	241.87	288.90	HUNTERSGREEN
594033956	380.0	5.94017	47.74	307.20	354.94	HUNTERSGREEN
594033970	640.0	6.46147	45.55	336.44	381.99	HUNTERSGREEN
594034072	262.0	5.56834	51.97	152.96	204.94	HUNTERSGREEN
594034084	190.0	5.24702	51.25	151.68	202.94	HUNTERSGREEN
1176450000	500.0	6.21461	256.13	152.78	408.91	HYDEPARK
1186250000	550.0	6.30992	168.45	310.12	478.56	HYDEPARK
1186260000	205.8	5.32690	168.45	41.60	210.05	HYDEPARK
1692460000	590.0	6.38012	291.09	66.90	357.99	DAVISISLES
1692730000	525.0	6.26340	462.43	114.13	576.56	DAVISISLES
1692990000	340.0	5.82895	199.66	80.43	280.09	DAVISISLES
1693500000	3200.0	8.07091	1004.59	1129.65	2134.23	DAVISISLES
1694120000	500.0	6.21461	358.43	55.89	414.32	DAVISISLES
1694450000	1421.0	7.25912	391.46	550.78	942.24	DAVISISLES
1853130000	858.9	6.75565	242.47	281.62	524.09	HYDEPARK
1853270000	625.0	6.43775	264.00	184.63	448.63	HYDEPARK
1854060000	375.0	5.92693	242.00	33.79	275.79	HYDEPARK
1854250000	1240.0	7.12287	264.00	466.82	730.82	HYDEPARK
1855080000	850.0	6.74524	266.64	333.18	599.82	HYDEPARK
1855250000	2500.0	7.82405	533.28	1221.20	1754.48	HYDEPARK
1855590000	750.0	6.62007	266.64	366.05	632.69	HYDEPARK
1856430000	895.0	6.79682	266.64	358.77	625.41	HYDEPARK
1856800000	460.0	6.13123	264.00	183.54	447.54	HYDEPARK
1856960000	605.0	6.40523	210.00	259.67	469.67	HYDEPARK
1857420000	329.9	5.79879	210.00	105.94	315.94	HYDEPARK
1857460000	462.0	6.13556	210.00	145.19	355.19	HYDEPARK
1858190000	850.0	6.74524	264.00	362.71	626.71	HYDEPARK
1858440000	1525.0	7.32975	335.61	862.34	1197.95	HYDEPARK
1858450000	1400.0	7.24423	350.90	711.34	1062.24	HYDEPARK
1858770000	760.0	6.63332	264.00	257.47	521.47	HYDEPARK
1859190000	520.0	6.25383	250.23	157.75	407.98	HYDEPARK
1859400000	418.0	6.03548	193.20	147.43	340.63	HYDEPARK
1859590000	152.0	5.02388	118.80	106.14	224.94	HYDEPARK
1859620000	330.0	5.79909	118.80	123.98	242.78	HYDEPARK
1860510000	240.0	5.48064	192.01	221.54	413.55	HYDEPARK
1860580000	405.0	6.00389	223.74	122.18	345.92	HYDEPARK
1860890000	650.0	6.47697	203.49	209.11	412.60	HYDEPARK
1860920000	400.0	5.99146	203.49	101.58	305.07	HYDEPARK
1861000000	365.0	5.89990	207.48	112.78	320.26	HYDEPARK
1861490000	455.0	6.12030	210.00	109.48	319.48	HYDEPARK
1861820000	625.0	6.43775	231.57	213.67	445.24	HYDEPARK
1861920000	380.0	5.94017	131.25	134.89	266.14	HYDEPARK
1861950000	499.9	6.21441	178.50	229.33	407.83	HYDEPARK
1862140000	640.0	6.46147	353.43	137.09	490.52	HYDEPARK
1948060000	325.0	5.78383	271.46	57.29	328.75	DAVISISLES
1948470000	1775.0	7.48156	702.00	205.18	907.17	DAVISISLES
1949010000	1000.0	6.90776	693.51	186.54	880.05	DAVISISLES
1949630000	580.0	6.36303	435.60	189.18	624.78	DAVISISLES
1949835000	920.0	6.82437	269.39	410.80	680.19	DAVISISLES
1951170000	259.9	5.56030	276.57	31.93	308.50	DAVISISLES
1951600000	400.0	5.99146	204.86	50.19	255.06	DAVISISLES
1952750050	890.0	6.79122	223.52	621.07	844.59	DAVISISLES
1953480000	545.0	6.30079	171.00	295.67	466.67	DAVISISLES
1953780100	960.0	6.86693	327.67	426.63	754.29	DAVISISLES
1953800000	970.0	6.87730	653.40	134.78	788.18	DAVISISLES
1953810000	615.0	6.42162	497.95	63.84	561.79	DAVISISLES
1953960000	745.0	6.61338	291.63	83.22	374.85	DAVISISLES
1954130000	1650.0	7.40853	388.82	1023.36	1412.18	DAVISISLES
1954320000	1250.0	7.13090	648.96	81.01	729.97	DAVISISLES
1954870000	715.0	6.57228	344.12	265.18	609.30	DAVISISLES
1955990000	1215.0	7.10250	341.86	785.66	1127.52	DAVISISLES
1956790000	1090.0	6.99393	724.78	359.94	1084.72	DAVISISLES
1956870000	975.0	6.88244	366.25	303.46	669.71	DAVISISLES
1957140000	1017.0	6.92461	248.45	691.70	940.15	DAVISISLES
1957160000	1025.0	6.93245	271.76	497.77	769.53	DAVISISLES
1957540000	625.0	6.43775	265.13	54.10	319.22	DAVISISLES
1957750000	700.0	6.55108	217.67	333.03	550.70	DAVISISLES
1957870000	327.0	5.78996	188.50	33.95	222.44	DAVISISLES
1958450000	725.0	6.58617	231.19	319.57	550.75	DAVISISLES
1958710000	405.0	6.00389	217.11	48.18	265.29	DAVISISLES
1959000000	327.0	5.78996	185.61	50.77	236.37	DAVISISLES
1959850000	515.0	6.24417	181.04	229.97	411.02	DAVISISLES
1959920000	999.0	6.90675	232.62	582.10	814.72	DAVISISLES
1959950000	850.0	6.74524	201.14	604.45	805.60	DAVISISLES
1960000100	490.0	6.19441	164.90	175.21	340.11	DAVISISLES
1960100000	440.0	6.08677	179.52	58.40	237.92	DAVISISLES
1962380000	690.0	6.53669	357.07	121.25	478.33	DAVISISLES
1964590000	587.5	6.37588	300.93	75.99	376.92	DAVISISLES
1966620000	377.5	5.93357	238.86	43.95	282.81	DAVISISLES
1968140000	810.0	6.69703	195.84	479.00	674.84	DAVISISLES
1969380000	800.0	6.68461	242.47	367.40	609.87	HYDEPARK
