Observation,body_mass_g,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,sex,year
40,4650,Adelie,Dream,39.8,19.1,184,male,2007
41,3150,Adelie,Dream,36.5,18,182,female,2007
42,3900,Adelie,Dream,40.8,18.4,195,male,2007
43,3100,Adelie,Dream,36,18.5,186,female,2007
44,4400,Adelie,Dream,44.1,19.7,196,male,2007
45,3000,Adelie,Dream,37,16.9,185,female,2007
46,4600,Adelie,Dream,39.6,18.8,190,male,2007
47,3425,Adelie,Dream,41.1,19,182,male,2007
48,2975,Adelie,Dream,37.5,18.9,179,NA,2007
49,3450,Adelie,Dream,36,17.9,190,female,2007
50,4150,Adelie,Dream,42.3,21.2,191,male,2007
51,3500,Adelie,Biscoe,39.6,17.7,186,female,2008
52,4300,Adelie,Biscoe,40.1,18.9,188,male,2008
53,3450,Adelie,Biscoe,35,17.9,190,female,2008
54,4050,Adelie,Biscoe,42,19.5,200,male,2008
55,2900,Adelie,Biscoe,34.5,18.1,187,female,2008
56,3700,Adelie,Biscoe,41.4,18.6,191,male,2008
57,3550,Adelie,Biscoe,39,17.5,186,female,2008
58,3800,Adelie,Biscoe,40.6,18.8,193,male,2008
59,2850,Adelie,Biscoe,36.5,16.6,181,female,2008
60,3750,Adelie,Biscoe,37.6,19.1,194,male,2008
61,3150,Adelie,Biscoe,35.7,16.9,185,female,2008
62,4400,Adelie,Biscoe,41.3,21.1,195,male,2008
63,3600,Adelie,Biscoe,37.6,17,185,female,2008
64,4050,Adelie,Biscoe,41.1,18.2,192,male,2008
65,2850,Adelie,Biscoe,36.4,17.1,184,female,2008
66,3950,Adelie,Biscoe,41.6,18,192,male,2008
67,3350,Adelie,Biscoe,35.5,16.2,195,female,2008
68,4100,Adelie,Biscoe,41.1,19.1,188,male,2008
69,3050,Adelie,Torgersen,35.9,16.6,190,female,2008
70,4450,Adelie,Torgersen,41.8,19.4,198,male,2008
71,3600,Adelie,Torgersen,33.5,19,190,female,2008
72,3900,Adelie,Torgersen,39.7,18.4,190,male,2008
73,3550,Adelie,Torgersen,39.6,17.2,196,female,2008
74,4150,Adelie,Torgersen,45.8,18.9,197,male,2008
75,3700,Adelie,Torgersen,35.5,17.5,190,female,2008
76,4250,Adelie,Torgersen,42.8,18.5,195,male,2008
77,3700,Adelie,Torgersen,40.9,16.8,191,female,2008
78,3900,Adelie,Torgersen,37.2,19.4,184,male,2008
79,3550,Adelie,Torgersen,36.2,16.1,187,female,2008
80,4000,Adelie,Torgersen,42.1,19.1,195,male,2008
81,3200,Adelie,Torgersen,34.6,17.2,189,female,2008
82,4700,Adelie,Torgersen,42.9,17.6,196,male,2008
83,3800,Adelie,Torgersen,36.7,18.8,187,female,2008
84,4200,Adelie,Torgersen,35.1,19.4,193,male,2008
85,3350,Adelie,Dream,37.3,17.8,191,female,2008
86,3550,Adelie,Dream,41.3,20.3,194,male,2008
87,3800,Adelie,Dream,36.3,19.5,190,male,2008
88,3500,Adelie,Dream,36.9,18.6,189,female,2008
89,3950,Adelie,Dream,38.3,19.2,189,male,2008
90,3600,Adelie,Dream,38.9,18.8,190,female,2008
91,3550,Adelie,Dream,35.7,18,202,female,2008
92,4300,Adelie,Dream,41.1,18.1,205,male,2008
93,3400,Adelie,Dream,34,17.1,185,female,2008
94,4450,Adelie,Dream,39.6,18.1,186,male,2008
95,3300,Adelie,Dream,36.2,17.3,187,female,2008
96,4300,Adelie,Dream,40.8,18.9,208,male,2008
97,3700,Adelie,Dream,38.1,18.6,190,female,2008
98,4350,Adelie,Dream,40.3,18.5,196,male,2008
99,2900,Adelie,Dream,33.1,16.1,178,female,2008
100,4100,Adelie,Dream,43.2,18.5,192,male,2008
101,3725,Adelie,Biscoe,35,17.9,192,female,2009
102,4725,Adelie,Biscoe,41,20,203,male,2009
103,3075,Adelie,Biscoe,37.7,16,183,female,2009
104,4250,Adelie,Biscoe,37.8,20,190,male,2009
105,2925,Adelie,Biscoe,37.9,18.6,193,female,2009
106,3550,Adelie,Biscoe,39.7,18.9,184,male,2009
107,3750,Adelie,Biscoe,38.6,17.2,199,female,2009
108,3900,Adelie,Biscoe,38.2,20,190,male,2009
109,3175,Adelie,Biscoe,38.1,17,181,female,2009
110,4775,Adelie,Biscoe,43.2,19,197,male,2009
111,3825,Adelie,Biscoe,38.1,16.5,198,female,2009
112,4600,Adelie,Biscoe,45.6,20.3,191,male,2009
113,3200,Adelie,Biscoe,39.7,17.7,193,female,2009
114,4275,Adelie,Biscoe,42.2,19.5,197,male,2009
115,3900,Adelie,Biscoe,39.6,20.7,191,female,2009
116,4075,Adelie,Biscoe,42.7,18.3,196,male,2009
117,2900,Adelie,Torgersen,38.6,17,188,female,2009
118,3775,Adelie,Torgersen,37.3,20.5,199,male,2009
119,3350,Adelie,Torgersen,35.7,17,189,female,2009
120,3325,Adelie,Torgersen,41.1,18.6,189,male,2009
121,3150,Adelie,Torgersen,36.2,17.2,187,female,2009
122,3500,Adelie,Torgersen,37.7,19.8,198,male,2009
123,3450,Adelie,Torgersen,40.2,17,176,female,2009
124,3875,Adelie,Torgersen,41.4,18.5,202,male,2009
125,3050,Adelie,Torgersen,35.2,15.9,186,female,2009
126,4000,Adelie,Torgersen,40.6,19,199,male,2009
127,3275,Adelie,Torgersen,38.8,17.6,191,female,2009
128,4300,Adelie,Torgersen,41.5,18.3,195,male,2009
129,3050,Adelie,Torgersen,39,17.1,191,female,2009
130,4000,Adelie,Torgersen,44.1,18,210,male,2009
131,3325,Adelie,Torgersen,38.5,17.9,190,female,2009
132,3500,Adelie,Torgersen,43.1,19.2,197,male,2009
133,3500,Adelie,Dream,36.8,18.5,193,female,2009
134,4475,Adelie,Dream,37.5,18.5,199,male,2009
135,3425,Adelie,Dream,38.1,17.6,187,female,2009
136,3900,Adelie,Dream,41.1,17.5,190,male,2009
137,3175,Adelie,Dream,35.6,17.5,191,female,2009
138,3975,Adelie,Dream,40.2,20.1,200,male,2009
139,3400,Adelie,Dream,37,16.5,185,female,2009
140,4250,Adelie,Dream,39.7,17.9,193,male,2009
141,3400,Adelie,Dream,40.2,17.1,193,female,2009
142,3475,Adelie,Dream,40.6,17.2,187,male,2009
143,3050,Adelie,Dream,32.1,15.5,188,female,2009
144,3725,Adelie,Dream,40.7,17,190,male,2009
145,3000,Adelie,Dream,37.3,16.8,192,female,2009
146,3650,Adelie,Dream,39,18.7,185,male,2009
147,4250,Adelie,Dream,39.2,18.6,190,male,2009
148,3475,Adelie,Dream,36.6,18.4,184,female,2009
149,3450,Adelie,Dream,36,17.8,195,female,2009
150,3750,Adelie,Dream,37.8,18.1,193,male,2009
151,3700,Adelie,Dream,36,17.1,187,female,2009
152,4000,Adelie,Dream,41.5,18.5,201,male,2009
153,4500,Gentoo,Biscoe,46.1,13.2,211,female,2007
154,5700,Gentoo,Biscoe,50,16.3,230,male,2007
155,4450,Gentoo,Biscoe,48.7,14.1,210,female,2007
156,5700,Gentoo,Biscoe,50,15.2,218,male,2007
157,5400,Gentoo,Biscoe,47.6,14.5,215,male,2007
158,4550,Gentoo,Biscoe,46.5,13.5,210,female,2007
159,4800,Gentoo,Biscoe,45.4,14.6,211,female,2007
160,5200,Gentoo,Biscoe,46.7,15.3,219,male,2007
161,4400,Gentoo,Biscoe,43.3,13.4,209,female,2007
162,5150,Gentoo,Biscoe,46.8,15.4,215,male,2007
163,4650,Gentoo,Biscoe,40.9,13.7,214,female,2007
164,5550,Gentoo,Biscoe,49,16.1,216,male,2007
165,4650,Gentoo,Biscoe,45.5,13.7,214,female,2007
166,5850,Gentoo,Biscoe,48.4,14.6,213,male,2007
167,4200,Gentoo,Biscoe,45.8,14.6,210,female,2007
168,5850,Gentoo,Biscoe,49.3,15.7,217,male,2007
169,4150,Gentoo,Biscoe,42,13.5,210,female,2007
170,6300,Gentoo,Biscoe,49.2,15.2,221,male,2007
171,4800,Gentoo,Biscoe,46.2,14.5,209,female,2007
172,5350,Gentoo,Biscoe,48.7,15.1,222,male,2007
173,5700,Gentoo,Biscoe,50.2,14.3,218,male,2007
174,5000,Gentoo,Biscoe,45.1,14.5,215,female,2007
175,4400,Gentoo,Biscoe,46.5,14.5,213,female,2007
176,5050,Gentoo,Biscoe,46.3,15.8,215,male,2007
177,5000,Gentoo,Biscoe,42.9,13.1,215,female,2007
178,5100,Gentoo,Biscoe,46.1,15.1,215,male,2007
179,4100,Gentoo,Biscoe,44.5,14.3,216,NA,2007
180,5650,Gentoo,Biscoe,47.8,15,215,male,2007
181,4600,Gentoo,Biscoe,48.2,14.3,210,female,2007
182,5550,Gentoo,Biscoe,50,15.3,220,male,2007
183,5250,Gentoo,Biscoe,47.3,15.3,222,male,2007
184,4700,Gentoo,Biscoe,42.8,14.2,209,female,2007
185,5050,Gentoo,Biscoe,45.1,14.5,207,female,2007
186,6050,Gentoo,Biscoe,59.6,17,230,male,2007
187,5150,Gentoo,Biscoe,49.1,14.8,220,female,2008
188,5400,Gentoo,Biscoe,48.4,16.3,220,male,2008
189,4950,Gentoo,Biscoe,42.6,13.7,213,female,2008
190,5250,Gentoo,Biscoe,44.4,17.3,219,male,2008
191,4350,Gentoo,Biscoe,44,13.6,208,female,2008
192,5350,Gentoo,Biscoe,48.7,15.7,208,male,2008
193,3950,Gentoo,Biscoe,42.7,13.7,208,female,2008
194,5700,Gentoo,Biscoe,49.6,16,225,male,2008
195,4300,Gentoo,Biscoe,45.3,13.7,210,female,2008
196,4750,Gentoo,Biscoe,49.6,15,216,male,2008
197,5550,Gentoo,Biscoe,50.5,15.9,222,male,2008
198,4900,Gentoo,Biscoe,43.6,13.9,217,female,2008
199,4200,Gentoo,Biscoe,45.5,13.9,210,female,2008
200,5400,Gentoo,Biscoe,50.5,15.9,225,male,2008
201,5100,Gentoo,Biscoe,44.9,13.3,213,female,2008
202,5300,Gentoo,Biscoe,45.2,15.8,215,male,2008
203,4850,Gentoo,Biscoe,46.6,14.2,210,female,2008
204,5300,Gentoo,Biscoe,48.5,14.1,220,male,2008
205,4400,Gentoo,Biscoe,45.1,14.4,210,female,2008
206,5000,Gentoo,Biscoe,50.1,15,225,male,2008
207,4900,Gentoo,Biscoe,46.5,14.4,217,female,2008
208,5050,Gentoo,Biscoe,45,15.4,220,male,2008
209,4300,Gentoo,Biscoe,43.8,13.9,208,female,2008
210,5000,Gentoo,Biscoe,45.5,15,220,male,2008
211,4450,Gentoo,Biscoe,43.2,14.5,208,female,2008
212,5550,Gentoo,Biscoe,50.4,15.3,224,male,2008
213,4200,Gentoo,Biscoe,45.3,13.8,208,female,2008
214,5300,Gentoo,Biscoe,46.2,14.9,221,male,2008
215,4400,Gentoo,Biscoe,45.7,13.9,214,female,2008
216,5650,Gentoo,Biscoe,54.3,15.7,231,male,2008
217,4700,Gentoo,Biscoe,45.8,14.2,219,female,2008
218,5700,Gentoo,Biscoe,49.8,16.8,230,male,2008
219,4650,Gentoo,Biscoe,46.2,14.4,214,NA,2008
220,5800,Gentoo,Biscoe,49.5,16.2,229,male,2008
221,4700,Gentoo,Biscoe,43.5,14.2,220,female,2008
222,5550,Gentoo,Biscoe,50.7,15,223,male,2008
223,4750,Gentoo,Biscoe,47.7,15,216,female,2008
224,5000,Gentoo,Biscoe,46.4,15.6,221,male,2008
225,5100,Gentoo,Biscoe,48.2,15.6,221,male,2008
226,5200,Gentoo,Biscoe,46.5,14.8,217,female,2008
227,4700,Gentoo,Biscoe,46.4,15,216,female,2008
228,5800,Gentoo,Biscoe,48.6,16,230,male,2008
229,4600,Gentoo,Biscoe,47.5,14.2,209,female,2008
230,6000,Gentoo,Biscoe,51.1,16.3,220,male,2008
231,4750,Gentoo,Biscoe,45.2,13.8,215,female,2008
232,5950,Gentoo,Biscoe,45.2,16.4,223,male,2008
233,4625,Gentoo,Biscoe,49.1,14.5,212,female,2009
234,5450,Gentoo,Biscoe,52.5,15.6,221,male,2009
235,4725,Gentoo,Biscoe,47.4,14.6,212,female,2009
236,5350,Gentoo,Biscoe,50,15.9,224,male,2009
237,4750,Gentoo,Biscoe,44.9,13.8,212,female,2009
238,5600,Gentoo,Biscoe,50.8,17.3,228,male,2009
239,4600,Gentoo,Biscoe,43.4,14.4,218,female,2009
240,5300,Gentoo,Biscoe,51.3,14.2,218,male,2009
241,4875,Gentoo,Biscoe,47.5,14,212,female,2009
242,5550,Gentoo,Biscoe,52.1,17,230,male,2009
243,4950,Gentoo,Biscoe,47.5,15,218,female,2009
244,5400,Gentoo,Biscoe,52.2,17.1,228,male,2009
245,4750,Gentoo,Biscoe,45.5,14.5,212,female,2009
246,5650,Gentoo,Biscoe,49.5,16.1,224,male,2009
247,4850,Gentoo,Biscoe,44.5,14.7,214,female,2009
248,5200,Gentoo,Biscoe,50.8,15.7,226,male,2009
249,4925,Gentoo,Biscoe,49.4,15.8,216,male,2009
250,4875,Gentoo,Biscoe,46.9,14.6,222,female,2009
251,4625,Gentoo,Biscoe,48.4,14.4,203,female,2009
252,5250,Gentoo,Biscoe,51.1,16.5,225,male,2009
253,4850,Gentoo,Biscoe,48.5,15,219,female,2009
254,5600,Gentoo,Biscoe,55.9,17,228,male,2009
255,4975,Gentoo,Biscoe,47.2,15.5,215,female,2009
256,5500,Gentoo,Biscoe,49.1,15,228,male,2009
257,4725,Gentoo,Biscoe,47.3,13.8,216,NA,2009
258,5500,Gentoo,Biscoe,46.8,16.1,215,male,2009
259,4700,Gentoo,Biscoe,41.7,14.7,210,female,2009
260,5500,Gentoo,Biscoe,53.4,15.8,219,male,2009
261,4575,Gentoo,Biscoe,43.3,14,208,female,2009
262,5500,Gentoo,Biscoe,48.1,15.1,209,male,2009
263,5000,Gentoo,Biscoe,50.5,15.2,216,female,2009
264,5950,Gentoo,Biscoe,49.8,15.9,229,male,2009
265,4650,Gentoo,Biscoe,43.5,15.2,213,female,2009
266,5500,Gentoo,Biscoe,51.5,16.3,230,male,2009
267,4375,Gentoo,Biscoe,46.2,14.1,217,female,2009
268,5850,Gentoo,Biscoe,55.1,16,230,male,2009
269,4875,Gentoo,Biscoe,44.5,15.7,217,NA,2009
270,6000,Gentoo,Biscoe,48.8,16.2,222,male,2009
271,4925,Gentoo,Biscoe,47.2,13.7,214,female,2009
272,NA,Gentoo,Biscoe,NA,NA,NA,NA,2009
273,4850,Gentoo,Biscoe,46.8,14.3,215,female,2009
274,5750,Gentoo,Biscoe,50.4,15.7,222,male,2009
275,5200,Gentoo,Biscoe,45.2,14.8,212,female,2009
276,5400,Gentoo,Biscoe,49.9,16.1,213,male,2009
277,3500,Chinstrap,Dream,46.5,17.9,192,female,2007
278,3900,Chinstrap,Dream,50,19.5,196,male,2007
279,3650,Chinstrap,Dream,51.3,19.2,193,male,2007
280,3525,Chinstrap,Dream,45.4,18.7,188,female,2007
281,3725,Chinstrap,Dream,52.7,19.8,197,male,2007
282,3950,Chinstrap,Dream,45.2,17.8,198,female,2007
283,3250,Chinstrap,Dream,46.1,18.2,178,female,2007
284,3750,Chinstrap,Dream,51.3,18.2,197,male,2007
285,4150,Chinstrap,Dream,46,18.9,195,female,2007
286,3700,Chinstrap,Dream,51.3,19.9,198,male,2007
287,3800,Chinstrap,Dream,46.6,17.8,193,female,2007
288,3775,Chinstrap,Dream,51.7,20.3,194,male,2007
289,3700,Chinstrap,Dream,47,17.3,185,female,2007
290,4050,Chinstrap,Dream,52,18.1,201,male,2007
291,3575,Chinstrap,Dream,45.9,17.1,190,female,2007
292,4050,Chinstrap,Dream,50.5,19.6,201,male,2007
293,3300,Chinstrap,Dream,50.3,20,197,male,2007
294,3700,Chinstrap,Dream,58,17.8,181,female,2007
295,3450,Chinstrap,Dream,46.4,18.6,190,female,2007
296,4400,Chinstrap,Dream,49.2,18.2,195,male,2007
297,3600,Chinstrap,Dream,42.4,17.3,181,female,2007
298,3400,Chinstrap,Dream,48.5,17.5,191,male,2007
299,2900,Chinstrap,Dream,43.2,16.6,187,female,2007
300,3800,Chinstrap,Dream,50.6,19.4,193,male,2007
301,3300,Chinstrap,Dream,46.7,17.9,195,female,2007
302,4150,Chinstrap,Dream,52,19,197,male,2007
303,3400,Chinstrap,Dream,50.5,18.4,200,female,2008
304,3800,Chinstrap,Dream,49.5,19,200,male,2008
305,3700,Chinstrap,Dream,46.4,17.8,191,female,2008
306,4550,Chinstrap,Dream,52.8,20,205,male,2008
307,3200,Chinstrap,Dream,40.9,16.6,187,female,2008
308,4300,Chinstrap,Dream,54.2,20.8,201,male,2008
309,3350,Chinstrap,Dream,42.5,16.7,187,female,2008
310,4100,Chinstrap,Dream,51,18.8,203,male,2008
311,3600,Chinstrap,Dream,49.7,18.6,195,male,2008
312,3900,Chinstrap,Dream,47.5,16.8,199,female,2008
313,3850,Chinstrap,Dream,47.6,18.3,195,female,2008
314,4800,Chinstrap,Dream,52,20.7,210,male,2008
315,2700,Chinstrap,Dream,46.9,16.6,192,female,2008
316,4500,Chinstrap,Dream,53.5,19.9,205,male,2008
317,3950,Chinstrap,Dream,49,19.5,210,male,2008
318,3650,Chinstrap,Dream,46.2,17.5,187,female,2008
319,3550,Chinstrap,Dream,50.9,19.1,196,male,2008
320,3500,Chinstrap,Dream,45.5,17,196,female,2008
321,3675,Chinstrap,Dream,50.9,17.9,196,female,2009
322,4450,Chinstrap,Dream,50.8,18.5,201,male,2009
323,3400,Chinstrap,Dream,50.1,17.9,190,female,2009
324,4300,Chinstrap,Dream,49,19.6,212,male,2009
325,3250,Chinstrap,Dream,51.5,18.7,187,male,2009
326,3675,Chinstrap,Dream,49.8,17.3,198,female,2009
327,3325,Chinstrap,Dream,48.1,16.4,199,female,2009
328,3950,Chinstrap,Dream,51.4,19,201,male,2009
329,3600,Chinstrap,Dream,45.7,17.3,193,female,2009
330,4050,Chinstrap,Dream,50.7,19.7,203,male,2009
331,3350,Chinstrap,Dream,42.5,17.3,187,female,2009
332,3450,Chinstrap,Dream,52.2,18.8,197,male,2009
333,3250,Chinstrap,Dream,45.2,16.6,191,female,2009
334,4050,Chinstrap,Dream,49.3,19.9,203,male,2009
335,3800,Chinstrap,Dream,50.2,18.8,202,male,2009
336,3525,Chinstrap,Dream,45.6,19.4,194,female,2009
337,3950,Chinstrap,Dream,51.9,19.5,206,male,2009
338,3650,Chinstrap,Dream,46.8,16.5,189,female,2009
339,3650,Chinstrap,Dream,45.7,17,195,female,2009
340,4000,Chinstrap,Dream,55.8,19.8,207,male,2009
341,3400,Chinstrap,Dream,43.5,18.1,202,female,2009
342,3775,Chinstrap,Dream,49.6,18.2,193,male,2009
343,4100,Chinstrap,Dream,50.8,19,210,male,2009
344,3775,Chinstrap,Dream,50.2,18.7,198,female,2009
