FLIGHT	ALTITUDE	LATERAL	RESPONSE
187	4.57	17.7000	0
188	3.05	9.8200	1
189	6.71	14.6500	1
190	3.05	4.9900	0
191	12.19	3.3800	1
192	4.57	11.4300	0
193	4.57	9.9800	1
194	1.52	24.3000	0
195	4.57	4.9900	1
196	6.10	8.2100	1
197	0.91	4.9900	0
198	9.14	4.9900	0
199	4.57	3.3800	1
200	4.57	9.8200	1
201	0.91	13.0400	0
202	0.91	6.6000	1
203	0.91	11.4300	0
204	0.91	17.8600	0
205	6.10	21.0800	1
206	4.57	0.9700	1
207	4.57	19.4700	1
208	3.05	21.0800	0
209	12.19	4.9900	1
210	6.10	29.1300	1
211	4.57	12.1500	1
212	3.05	1.7700	1
213	0.91	3.3800	1
214	1.52	6.6000	1
215	4.57	4.9100	0
216	6.10	4.9900	1
217	4.57	16.2500	0
218	3.05	6.6000	1
219	0.91	3.3800	1
220	4.57	1.6900	1
221	1.52	17.8600	0
222	0.91	11.4300	0
223	7.62	40.3900	0
224	1.52	11.5900	0
225	6.10	3.3800	1
226	1.52	0.1600	1
227	3.05	4.9900	1
228	1.52	16.2500	0
229	4.57	4.9900	1
230	3.05	21.0800	0
231	4.57	12.1500	1
232	1.52	9.8200	1
233	1.52	1.7700	1
234	4.57	1.7700	1
235	1.52	33.9600	0
236	6.10	0.1600	1
237	6.10	6.6000	1
238	3.05	16.2500	0
239	6.71	74.1899	0
240	1.52	4.9900	1
241	1.52	3.3800	1
242	3.05	13.0400	0
243	1.52	0.1600	1
244	0.91	4.9900	1
245	4.57	28.9700	0
246	6.10	3.3800	1
247	6.10	11.4300	1
248	1.52	4.9900	0
249	4.57	14.6500	1
250	4.57	1.7700	1
251	6.10	9.8200	1
252	1.52	1.7700	1
253	4.57	0.8900	1
254	3.05	33.9600	0
255	3.05	24.3000	0
256	4.57	14.5600	0
257	1.52	14.6500	0
258	4.57	14.5600	0
259	1.52	22.6900	0
260	0.91	24.3000	0
261	1.52	19.4700	0
262	6.10	4.9900	0
263	0.91	14.6500	0
264	3.05	0.1600	1
265	6.10	4.9900	1
266	3.05	11.4300	1
267	6.10	13.0400	1
268	0.91	1.7700	1
269	4.57	19.4700	1
270	3.05	1.7700	1
271	0.91	0.1600	1
272	1.52	1.7700	1
273	1.52	25.9100	0
274	1.52	0.1600	1
275	4.57	6.6000	1
276	3.05	4.9900	1
277	6.10	0.1600	1
278	0.91	3.3800	1
279	6.71	21.0800	1
280	1.52	6.6000	1
281	6.10	13.0400	1
282	3.05	17.8600	0
283	1.52	4.9900	1
284	4.57	6.6000	1
285	1.52	19.4700	0
286	0.91	32.5100	0
287	0.91	8.2100	1
288	1.52	0.1600	1
289	4.57	16.0900	1
290	4.57	16.1700	1
291	4.57	9.8200	0
292	3.05	32.3500	0
293	1.52	35.5700	0
294	1.52	32.3500	0
295	4.57	1.7700	1
296	1.52	33.9600	0
297	0.91	9.8200	0
298	4.57	11.4300	0
299	3.05	4.9900	1
300	3.05	6.6000	1
301	3.05	0.1600	1
302	0.91	4.9900	1
303	0.91	3.3800	1
304	1.52	11.4300	1
305	3.05	6.6000	1
306	4.57	48.2800	0
307	0.91	0.1600	1
308	1.52	16.2500	0
309	3.05	16.2500	0
310	6.10	3.3800	1
311	1.52	3.3800	0
312	4.57	6.6000	1
313	3.05	4.9900	1
314	6.71	16.2500	0
315	0.91	3.3800	1
316	4.57	6.6000	1
317	0.91	0.1600	1
318	0.91	13.0400	0
319	0.91	4.9900	1
320	3.05	1.7700	1
321	0.91	4.9900	0
322	4.57	4.9900	1
323	4.57	8.1300	1
324	6.10	6.6000	0
325	3.05	14.6500	0
326	3.05	24.3000	0
327	6.10	0.1600	1
328	0.91	8.2100	1
329	4.57	24.3000	0
330	6.10	1.7700	1
331	3.05	32.5100	0
332	4.57	1.7700	1
333	0.91	16.2500	0
334	4.57	14.6500	0
335	1.52	4.9900	1
336	6.10	33.9600	0
337	6.10	13.0400	1
338	3.05	1.7700	1
339	1.52	1.7700	1
340	0.91	4.9900	1
341	0.91	16.2500	0
342	6.10	0.1600	1
343	1.52	33.9600	0
344	1.52	1.7700	1
345	6.10	27.5200	0
346	4.57	0.1600	1
347	4.57	1.7700	0
348	1.52	8.2100	1
349	3.05	9.8200	1
350	4.57	3.3800	1
351	4.57	14.5600	0
352	1.52	1.7700	1
353	1.52	1.7700	1
354	1.52	22.6900	0
355	1.52	4.9900	1
356	0.91	8.2100	1
357	3.05	9.8200	1
358	4.57	0.1600	1
359	3.05	0.1600	1
360	4.57	16.0900	0
361	1.52	24.3000	0
362	0.91	11.4300	0
363	4.57	8.1300	0
364	9.14	0.1600	1
365	4.57	80.4700	0
366	3.05	6.6000	1
367	3.05	4.9900	1
368	3.05	13.0400	1
369	1.52	25.9100	0
370	3.05	3.3800	1
371	4.57	13.0400	1
372	1.52	35.5700	0
373	6.10	0.1600	1
374	3.05	3.3800	1
375	3.05	6.6000	0
376	0.91	30.9000	0
377	1.52	0.1600	1
378	3.05	8.3700	0
379	0.91	3.3800	1
380	4.57	0.1600	1
381	4.57	25.9100	0
382	4.57	6.6000	1
383	0.91	13.0400	0
384	4.57	3.3800	1
385	0.91	21.0800	0
386	1.52	0.1600	1
387	3.05	4.9900	1
388	3.05	16.2500	0
389	9.14	21.0800	0
390	0.91	6.6000	1
391	4.57	22.5300	0
392	3.05	38.7900	0
393	1.52	0.1600	1
394	0.91	3.3800	1
395	4.57	4.9900	1
396	3.05	13.0400	1
397	0.91	8.2100	0
398	3.05	16.2500	0
399	3.05	1.7700	1
400	6.10	14.6500	1
401	0.91	6.6000	1
402	0.91	0.1600	1
403	6.10	0.1600	1
404	4.57	4.9900	1
405	4.57	12.1500	0
406	4.57	32.1900	0
407	0.91	1.7700	1
408	1.52	0.1600	1
409	0.91	1.7700	1
410	1.52	3.3800	1
411	0.91	17.8600	0
412	6.71	19.4700	1
413	6.10	11.4300	1
414	3.05	13.0400	0
415	6.10	11.4300	1
416	4.57	8.0500	0
417	4.57	3.3800	1
418	1.52	13.0400	0
419	6.10	16.2500	0
420	9.14	11.4300	0
421	3.05	32.3500	0
422	0.91	16.2500	0
423	0.91	0.1600	1
424	0.91	21.0800	0
425	3.05	1.7700	1
426	4.57	1.7700	1
427	6.10	3.3800	1
428	6.10	6.6000	1
429	4.57	16.0900	0
430	0.91	8.2100	0
431	3.05	4.9900	1
432	3.05	8.2100	1
433	4.57	8.1300	1
434	1.52	4.9900	1
435	4.57	3.3800	1
436	7.62	3.3800	1
437	1.52	24.4600	0
438	3.05	22.6900	0
439	0.91	9.8200	1
440	0.91	0.1600	1
441	7.62	1.7700	1
442	1.52	24.3000	0
443	1.52	21.0800	0
444	4.57	38.7900	0
445	4.57	11.4300	1
446	0.91	0.1600	1
447	6.10	16.2500	1
448	1.52	14.6500	1
449	3.05	9.8200	1
450	3.05	33.9600	0
451	1.52	13.0400	0
452	1.52	8.2100	0
453	3.05	0.1600	1
454	0.91	11.4300	0
455	0.91	6.6000	1
456	6.10	16.2500	1
457	4.57	4.0200	1
458	3.05	4.9900	1
459	6.10	0.1600	1
460	3.05	9.8200	0
461	3.05	13.0400	1
462	1.52	9.8200	1
463	0.91	4.9900	1
464	3.05	0.1600	1
