CONTENT	RECALL	FACTOR
VIOLENT	6	1
VIOLENT	2	1
SEX	2	2
SEX	4	2
SEX	0	2
SEX	0	2
SEX	2	2
SEX	0	2
SEX	2	2
SEX	0	2
SEX	2	2
SEX	3	2
SEX	0	2
SEX	1	2
SEX	0	2
SEX	2	2
SEX	0	2
SEX	0	2
SEX	1	2
SEX	0	2
SEX	3	2
SEX	0	2
SEX	0	2
SEX	3	2
SEX	2	2
SEX	2	2
SEX	1	2
SEX	0	2
SEX	1	2
SEX	1	2
SEX	6	2
SEX	0	2
SEX	2	2
SEX	2	2
SEX	1	2
SEX	2	2
SEX	0	2
SEX	4	2
SEX	1	2
SEX	5	2
SEX	2	2
SEX	6	2
SEX	1	2
SEX	0	2
SEX	3	2
SEX	3	2
SEX	1	2
SEX	0	2
SEX	0	2
SEX	1	2
SEX	4	2
SEX	0	2
SEX	2	2
SEX	0	2
SEX	0	2
SEX	5	2
SEX	2	2
SEX	1	2
SEX	2	2
SEX	3	2
SEX	3	2
SEX	0	2
SEX	2	2
SEX	0	2
SEX	2	2
SEX	3	2
SEX	0	2
SEX	1	2
SEX	2	2
SEX	5	2
SEX	0	2
SEX	1	2
SEX	1	2
SEX	0	2
SEX	1	2
SEX	1	2
SEX	1	2
SEX	1	2
SEX	5	2
SEX	3	2
SEX	0	2
SEX	0	2
SEX	2	2
SEX	0	2
SEX	0	2
SEX	4	2
SEX	3	2
SEX	0	2
SEX	2	2
SEX	2	2
SEX	3	2
SEX	1	2
SEX	1	2
SEX	7	2
SEX	4	2
SEX	3	2
SEX	1	2
SEX	3	2
SEX	0	2
SEX	1	2
SEX	4	2
SEX	0	2
SEX	2	2
SEX	3	2
SEX	4	2
SEX	4	2
SEX	4	2
SEX	0	2
SEX	0	2
SEX	4	2
NEUTRAL	4	3
NEUTRAL	1	3
NEUTRAL	3	3
NEUTRAL	3	3
NEUTRAL	1	3
NEUTRAL	6	3
NEUTRAL	3	3
NEUTRAL	4	3
NEUTRAL	4	3
NEUTRAL	2	3
NEUTRAL	5	3
NEUTRAL	5	3
NEUTRAL	3	3
NEUTRAL	2	3
NEUTRAL	4	3
NEUTRAL	4	3
NEUTRAL	4	3
NEUTRAL	7	3
NEUTRAL	4	3
NEUTRAL	2	3
NEUTRAL	2	3
NEUTRAL	6	3
NEUTRAL	5	3
NEUTRAL	7	3
NEUTRAL	6	3
NEUTRAL	7	3
NEUTRAL	1	3
NEUTRAL	2	3
NEUTRAL	2	3
NEUTRAL	3	3
NEUTRAL	3	3
NEUTRAL	4	3
NEUTRAL	0	3
NEUTRAL	5	3
NEUTRAL	3	3
NEUTRAL	6	3
NEUTRAL	3	3
NEUTRAL	1	3
NEUTRAL	6	3
NEUTRAL	1	3
NEUTRAL	3	3
NEUTRAL	3	3
NEUTRAL	3	3
NEUTRAL	0	3
NEUTRAL	4	3
NEUTRAL	4	3
NEUTRAL	3	3
NEUTRAL	3	3
NEUTRAL	1	3
NEUTRAL	3	3
NEUTRAL	5	3
NEUTRAL	7	3
NEUTRAL	0	3
NEUTRAL	3	3
NEUTRAL	2	3
NEUTRAL	3	3
NEUTRAL	7	3
NEUTRAL	3	3
NEUTRAL	1	3
NEUTRAL	2	3
NEUTRAL	5	3
NEUTRAL	1	3
NEUTRAL	3	3
NEUTRAL	3	3
NEUTRAL	2	3
NEUTRAL	2	3
NEUTRAL	3	3
NEUTRAL	3	3
NEUTRAL	3	3
NEUTRAL	0	3
NEUTRAL	0	3
NEUTRAL	0	3
NEUTRAL	3	3
NEUTRAL	2	3
NEUTRAL	0	3
NEUTRAL	2	3
NEUTRAL	3	3
NEUTRAL	2	3
NEUTRAL	4	3
NEUTRAL	6	3
NEUTRAL	4	3
NEUTRAL	2	3
NEUTRAL	0	3
NEUTRAL	6	3
NEUTRAL	2	3
NEUTRAL	1	3
NEUTRAL	3	3
NEUTRAL	5	3
NEUTRAL	2	3
NEUTRAL	2	3
NEUTRAL	7	3
NEUTRAL	5	3
NEUTRAL	4	3
NEUTRAL	3	3
NEUTRAL	3	3
NEUTRAL	2	3
NEUTRAL	6	3
NEUTRAL	2	3
NEUTRAL	4	3
NEUTRAL	4	3
NEUTRAL	1	3
NEUTRAL	2	3
NEUTRAL	2	3
NEUTRAL	5	3
NEUTRAL	4	3
NEUTRAL	3	3
NEUTRAL	4	3
NEUTRAL	3	3
